precision,recall,f1-score,support,breed_name
0.8214285714285714,0.8846153846153846,0.8518518518518519,52.0,Chihuahua
0.9397590361445783,0.9176470588235294,0.9285714285714286,85.0,Japanese Spaniel
0.9862068965517241,0.9407894736842105,0.9629629629629629,152.0,Maltese Dog
0.9565217391304348,0.8979591836734694,0.9263157894736842,49.0,Pekinese
0.8482142857142857,0.8333333333333334,0.8407079646017699,114.0,Tzu
0.9764705882352941,0.9431818181818182,0.9595375722543352,88.0,Blenheim Spaniel
0.9693877551020408,0.9895833333333334,0.979381443298969,96.0,Papillon
0.9230769230769231,0.8333333333333334,0.8759124087591241,72.0,Toy Terrier
0.8571428571428571,0.8333333333333334,0.8450704225352113,72.0,Rhodesian Ridgeback
0.9856115107913669,0.9856115107913669,0.9856115107913669,139.0,Afghan Hound
0.935064935064935,0.96,0.9473684210526315,75.0,Basset
0.9052631578947369,0.9052631578947369,0.9052631578947369,95.0,Beagle
0.9866666666666667,0.8505747126436781,0.9135802469135802,87.0,Bloodhound
0.9444444444444444,0.9577464788732394,0.951048951048951,71.0,Bluetick
0.8983050847457628,0.8983050847457628,0.8983050847457628,59.0,Tan Coonhound
0.6567164179104478,0.8301886792452831,0.7333333333333333,53.0,Walker Hound
0.8636363636363636,0.6666666666666666,0.7524752475247525,57.0,English Foxhound
0.8297872340425532,0.8125,0.8210526315789474,48.0,Redbone
0.9791666666666666,0.9215686274509803,0.9494949494949495,51.0,Borzoi
0.8307692307692308,0.9152542372881356,0.8709677419354839,118.0,Irish Wolfhound
0.927710843373494,0.9390243902439024,0.9333333333333333,82.0,Italian Greyhound
0.9390243902439024,0.8850574712643678,0.9112426035502958,87.0,Whippet
0.9333333333333333,0.9545454545454546,0.9438202247191011,88.0,Ibizan Hound
1.0,0.9166666666666666,0.9565217391304348,96.0,Norwegian Elkhound
0.9411764705882353,0.9411764705882353,0.9411764705882353,51.0,Otterhound
1.0,0.87,0.93048128342246,100.0,Saluki
0.923728813559322,0.8257575757575758,0.872,132.0,Scottish Deerhound
0.9375,1.0,0.967741935483871,60.0,Weimaraner
0.7659574468085106,0.6545454545454545,0.7058823529411765,55.0,Staffordshire Bullterrier
0.6923076923076923,0.84375,0.7605633802816901,64.0,American Staffordshire Terrier
0.9876543209876543,0.975609756097561,0.9815950920245399,82.0,Bedlington Terrier
0.92,0.9583333333333334,0.9387755102040817,72.0,Border Terrier
0.9487179487179487,0.9367088607594937,0.9426751592356688,79.0,Kerry Blue Terrier
0.8933333333333333,0.9710144927536232,0.9305555555555556,69.0,Irish Terrier
0.8472222222222222,0.8472222222222222,0.8472222222222222,72.0,Norfolk Terrier
0.8947368421052632,0.8,0.84472049689441,85.0,Norwich Terrier
0.7402597402597403,0.890625,0.8085106382978723,64.0,Yorkshire Terrier
0.92,0.8070175438596491,0.8598130841121495,57.0,Haired Fox Terrier
0.875,0.865979381443299,0.8704663212435233,97.0,Lakeland Terrier
1.0,0.9607843137254902,0.98,102.0,Sealyham Terrier
0.9238095238095239,0.9509803921568627,0.9371980676328503,102.0,Airedale
0.9387755102040817,0.9484536082474226,0.9435897435897436,97.0,Cairn
0.865979381443299,0.875,0.8704663212435233,96.0,Australian Terrier
0.9176470588235294,0.975,0.9454545454545454,80.0,Dandie Dinmont
0.9753086419753086,0.9634146341463414,0.9693251533742331,82.0,Boston Bull
0.847457627118644,0.9259259259259259,0.8849557522123894,54.0,Miniature Schnauzer
0.75,0.8947368421052632,0.816,57.0,Giant Schnauzer
0.8958333333333334,0.7818181818181819,0.8349514563106796,55.0,Standard Schnauzer
0.96,0.8275862068965517,0.8888888888888888,58.0,Scotch Terrier
0.8952380952380953,0.8867924528301887,0.8909952606635071,106.0,Tibetan Terrier
0.8205128205128205,0.7710843373493976,0.7950310559006211,83.0,Silky Terrier
0.9272727272727272,0.9107142857142857,0.918918918918919,56.0,Coated Wheaten Terrier
